@relation DataSetTrain_p2
@attribute m_x numeric
@attribute sd_x numeric
@attribute m_y numeric
@attribute sd_y numeric
@attribute m_z numeric
@attribute sd_z numeric
@attribute label {A,B,C}
@data
1024.0,0.0,1020.76666,13.623701,996.93335,68.21425,A
1007.26666,80.22084,945.3333,135.75623,836.1,196.7452,A
1024.0,0.0,943.86664,130.01456,811.2167,240.51672,A
1024.0,0.0,972.01666,104.43772,909.05,175.4003,A
1024.0,0.0,990.15,75.697845,955.26666,129.9992,A
1024.0,0.0,989.7833,79.89443,898.38336,173.01299,A
1024.0,0.0,1003.68335,59.54305,936.38336,132.673,A
1021.85,12.32857,1003.31665,52.941746,934.6,134.7456,A
1024.0,0.0,1005.81665,56.3321,963.0333,79.93152,A
1001.2167,76.815216,1006.55,68.728264,935.6,161.75304,A
979.5333,122.543175,1003.01666,85.9238,932.15,169.60344,A
969.88336,130.71242,1006.56665,77.66665,912.2833,217.28021,B
946.7833,176.6802,987.68335,105.315735,919.0333,216.13306,B
1020.0833,30.33837,971.31665,108.30143,900.55,225.25389,B
1024.0,0.0,988.36664,87.33184,900.8333,201.34016,B
1018.3,44.151997,983.76666,92.082184,858.1667,231.2044,B
999.0833,94.22069,1000.5,81.97965,904.43335,179.12796,B
973.0833,122.82772,977.3333,107.69977,872.8,210.61804,B
961.0,142.33646,975.95,118.50759,951.4,167.03346,B
942.1667,159.99886,925.0,137.96906,832.5833,204.58435,B
1024.0,0.0,1017.95,46.8631,857.0333,212.19965,B
1022.56665,11.102552,904.4,189.47404,999.4167,68.22328,C
1019.0,20.98344,918.23334,169.31812,984.11664,88.58418,C
1015.0833,30.31994,877.75,227.66664,1004.4,60.462387,C
1024.0,0.0,874.15,218.56921,1004.4,62.63214,C
1023.2833,5.551271,880.23334,215.17932,980.2,104.522766,C
1020.0833,30.33837,932.1667,170.84804,972.01666,121.821655,C
1022.2167,13.813645,741.8333,293.4574,957.05,144.2906,C
1021.5,14.799791,877.01666,245.87659,981.26666,127.28439,C
1013.6667,47.787548,766.4167,293.37225,985.18335,93.68021,C
1024.0,0.0,750.8,301.428,988.7167,93.635994,C
